ParasiteCheckedBinomial,Par.Phylum,Par.Class,length.min.mm,length.max.mm,width.min.um,width.max.um,male.length.min,male.length.max,male.width.min,male.width.max,female.length.min,female.length.max,female.width.min,female.width.max,egg.size.min,egg.size.max
Capillaria bilobata,Nematoda,Enoplea,10.1,21.3,50,85,10.1,16.5,50,83,14,21.3,72,85,33,55
Capillaria boehmi,Nematoda,Enoplea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capillaria bovis,Nematoda,Enoplea,11,25,50,116,11,13,50,75,18,25,80,116,45,52
Capillaria hepatica,Nematoda,Enoplea,22,104,26,184,22,22,26,78,52,104,78,184,48,66
Capillaria mucronata,Nematoda,Enoplea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capillaria mustelorum,Nematoda,Enoplea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capillaria myoxinitelae,Nematoda,Enoplea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capillaria plica,Nematoda,Enoplea,13,60,48,60,13,30,48,48,30,60,65,65,60,68
Capillaria procyonis,Nematoda,Enoplea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capillaria putorii,Nematoda,Enoplea,5.4,15,58,88,5.4,8,58,68,9.4,15,68,88,56,72
Capreocaulus capreoli,Nematoda,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmyerius gregarius,Platyhelminthes,Trematoda,6,12,2,4,NA,NA,NA,NA,NA,NA,NA,NA,112,125
Centrorhynchus aluconis,Acanthocephala,Palaeacanthocephala,6,45,500,1500,6,25,500,600,11,45,800,1500,NA,NA
Centrorhynchus bazaleticus,Acanthocephala,Palaeacanthocephala,6.783,6.78,1024,1024,NA,NA,NA,NA,NA,NA,NA,NA,36,36
Centrorhynchus conspectus,Acanthocephala,Palaeacanthocephala,23,55,1000,1500,23,35,NA,NA,28,55,1000,1500,60,78
Centrorhynchus elongatus,Acanthocephala,Palaeacanthocephala,NA,NA,NA,NA,15,35,750,1100,32,53,800,1600,72,84
Centrorhynchus elongatus,Acanthocephala,Palaeacanthocephala,NA,NA,NA,NA,15,35,750,1100,32,53,800,1600,72,84
Centrorhynchus teres,Acanthocephala,Palaeacanthocephala,14,17,1200,2200,14,14,2000,2000,17,20,2000,2000,61,65
Centrorhynchus undulatus,Acanthocephala,Palaeacanthocephala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrorhynchus wardae,Acanthocephala,Palaeacanthocephala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceratospira opthalmica,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithifilaria crassa,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithifilaria longa,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithifilaria shohoi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chabertia ovina,Nematoda,Chromadorea,13,20,330,500,13,14,330,330,17,20,500,500,77,100
